subject_ID,age_in_years,gender,gender_coded,age_group,age_group_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingL,RT_fishingR,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,EV_flashL,EV_flashR,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,items_count_flashL,items_count_flashR,EV_at_fishingL,EV_at_fishingR,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,trial_number,prop_correct_fishing,fishing_rewardL,fishing_rewardR,fishing_rewardL_rational_fishing,fishing_rewardR_rational_fishing,avg_fishing_reward,avg_fishing_reward_rational_fishing,reward_EV_info,reward_EV_no_info,reward_uncertainty_info,reward_uncertainty_no_info,reward_agency_info,reward_agency_no_info
6730160,42,Male,1,Adults,4,0,trial_5,,,1,,12611,,1313,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":4,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",0,100,-6.666666667,3.333333333,-10,-3.333333333,9.428090416,9.428090416,1,0,10,1.78E-15,-1,100,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",-10,3.333333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,5,0.903225806,0,0,0,10,4,3.5,-10,3.333333333,1,0,0,0
6730160,42,Male,1,Adults,4,0,trial_6,,1,0,,13282,3386,5272,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",100,50,-3.333333333,-3.333333333,-3.333333333,-16.66666667,7.453559925,9.428090416,2,3,0,1.974530491,1,-50,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",-3.333333333,-3.333333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,6,0.903225806,0,-20,0,0,4,3.5,-3.333333333,-3.333333333,2,0,0,-20
6730160,42,Male,1,Adults,4,0,trial_7,,,,,5232,,,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",0,0,3.333333333,15,3.333333333,20,7.453559925,7.637626158,2,1,11.66666667,0.184066233,-1,0,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",3.333333333,15,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,7,0.903225806,10,0,-10,0,4,3.5,3.333333333,15,2,0,10,0
6730160,42,Male,1,Adults,4,1,trial_8,,0,,,7822,1469,,"{""FishSmall"":3,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",100,50,11.66666667,5,13.33333333,10,6.871842709,7.637626158,1,1,-6.666666667,0.765783449,0,-50,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",11.66666667,10,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,8,0.903225806,10,10,10,10,4,3.5,10,11.66666667,1,0,10,10
6730160,42,Male,1,Adults,4,0,trial_9,,,,,8307,,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",0,0,-3.333333333,-3.333333333,-6.666666667,6.666666667,7.453559925,9.428090416,2,3,0,1.974530491,1,0,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",-6.666666667,-3.333333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,9,0.903225806,-10,10,0,-10,4,3.5,-6.666666667,-3.333333333,2,0,-10,10
6730160,42,Male,1,Adults,4,0,trial_10,,,0,,16835,,14028,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",50,50,5,6.666666667,6.666666667,16.66666667,9.574271078,7.453559925,2,3,1.666666667,-2.120711153,1,0,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",6.666666667,6.666666667,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,10,0.903225806,0,10,20,20,4,3.5,6.666666667,6.666666667,2,0,0,10
6730160,42,Male,1,Adults,4,,catch_1,0,,,17561,,,,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,0,,,,,,,,,,,,,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",,,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,,0.903225806,,,,,,,,,,,,
6730160,42,Male,1,Adults,4,0,trial_11,,0,,,2186,1216,,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,0,0,3.333333333,3.333333333,6.666666667,8.164965809,7.453559925,2,2,3.333333333,-0.711405884,0,-50,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",3.333333333,3.333333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,11,0.903225806,10,0,10,0,4,3.5,3.333333333,3.333333333,2,0,10,0
6730160,42,Male,1,Adults,4,1,trial_12,,,,,5111,,,"{""FishSmall"":2,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",50,0,16.66666667,0,20,0,4.714045208,11.54700538,0,4,-16.66666667,6.832960176,4,-50,"{""FishSmall"":0,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",16.66666667,0,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,12,0.903225806,0,0,0,0,4,3.5,0,16.66666667,4,0,0,0
6730160,42,Male,1,Adults,4,1,trial_13,,0,1,,4506,4271,3814,"{""FishSmall"":3,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":1}",100,50,15,-5,16.66666667,-13.33333333,5,7.637626158,0,1,-20,2.637626158,1,-50,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":0}",15,-13.33333333,1,811.3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,13,0.903225806,20,0,20,0,4,3.5,-13.33333333,15,1,0,0,20
