subject_ID,age_in_years,gender,gender_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingR,RT_fishingL,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,prop_correct_fishing
3714639,31,Male,1,1,trial_25,,,0,,856.91,2292.845,,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,100,5,3.333333333,7.637626158,7.453559925,1,2,-1.666666667,-0.184066233,1,100,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,1,trial_26,,,,,1575.82,,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}",0,50,-3.333333333,3.333333333,7.453559925,9.428090416,2,3,6.666666667,1.974530491,1,50,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,1,trial_27,,,,,1019.135,,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,50,-3.333333333,3.333333333,9.428090416,7.453559925,3,2,6.666666667,-1.974530491,-1,0,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,0,trial_28,,,1,,2314.82,2591.395,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":1,""Seaweed"":1}",0,100,-6.666666667,-10,9.428090416,5.773502692,1,1,-3.333333333,-3.654587724,0,100,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,1,trial_29,,1,1,,1147.515,1953.115,2975.45,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":2,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",50,100,-11.66666667,-3.333333333,6.871842709,7.453559925,1,2,8.333333333,0.581717216,1,50,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714639,31,Male,1,0,trial_30,,,,,2911.945,,,"{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",50,50,6.666666667,10,9.428090416,5.773502692,1,1,3.333333333,-3.654587724,0,0,0.9,1155.7325,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_1,,,0,,4271.245,1534.45,,"{""FishSmall"":2,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}",0,100,13.33333333,8.333333333,7.453559925,6.871842709,1,2,-5,-0.581717216,1,100,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_2,,,,,3415.295,,,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",50,50,3.333333333,5,7.453559925,5,2,3,1.666666667,-2.453559925,1,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_3,,1,1,,1428.915,3145.49,1528.585,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":2,""Seaweed"":1}",100,100,0,-11.66666667,8.164965809,6.871842709,2,1,-11.66666667,-1.2931231,-1,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_4,,,,,1175.37,,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",0,0,-5,-10,9.574271078,8.164965809,2,2,-5,-1.409305268,0,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_5,,,0,,1477.31,1325.635,,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":5,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,100,3.333333333,11.66666667,9.428090416,3.726779962,3,0,8.333333333,-5.701310453,-3,100,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_6,,,0,,3077.555,1331.25,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":4,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",0,50,-8.333333333,13.33333333,8.975274679,7.453559925,0,1,21.66666667,-1.521714754,1,50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_7,,,,,3834.575,,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",50,0,-6.666666667,-3.333333333,9.428090416,7.453559925,1,2,3.333333333,-1.974530491,1,-50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_8,,,,,5856.785,,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}",0,50,-6.666666667,-1.666666667,9.428090416,8.975274679,1,1,5,-0.452815737,0,50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_9,,1,,,3004.715,,1273.445,"{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}",100,0,6.666666667,11.66666667,9.428090416,8.975274679,1,2,5,-0.452815737,1,-100,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_10,,,,,6666.88,,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",50,0,-5,0,9.574271078,11.54700538,2,4,5,1.972734306,2,-50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,,,,,catch_1,0,,,4663.215,,,,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1
3714643,24,Female,2,0,trial_11,,0,1,,1563.995,1612.135,1317.035,"{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}",100,100,6.666666667,-13.33333333,9.428090416,7.453559925,1,1,-20,-1.974530491,0,0,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_12,,,,,3996.55,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",0,50,-10,-3.333333333,8.164965809,9.428090416,2,3,6.666666667,1.263124607,1,50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_13,,1,1,,7002.13,2576.385,1509.11,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",100,50,-6.666666667,-3.333333333,9.428090416,9.428090416,1,3,3.333333333,1.78E-15,2,-50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,0,trial_14,,0,1,,4165.3,2676.05,1508.36,"{""FishSmall"":1,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}",50,100,15,-1.666666667,7.637626158,6.871842709,1,3,-16.66666667,-0.765783449,2,50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
3714643,24,Female,2,1,trial_15,,,,,1121.24,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":4,""Seaweed"":1}","{""FishSmall"":4,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}",0,50,-15,6.666666667,7.637626158,4.714045208,1,2,21.66666667,-2.92358095,1,50,1,767.327,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,1
