subject_ID,age_in_years,age_in_months,gender,gender_coded,age_group,age_group_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingL,RT_fishingR,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,EV_flashL,EV_flashR,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,items_count_flashL,items_count_flashR,EV_at_fishingL,EV_at_fishingR,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,trial_number,prop_correct_fishing,fishing_rewardL,fishing_rewardR,fishing_rewardL_rational_fishing,fishing_rewardR_rational_fishing,avg_fishing_reward,avg_fishing_reward_rational_fishing,reward_EV_info,reward_EV_no_info,reward_uncertainty_info,reward_uncertainty_no_info,reward_agency_info,reward_agency_no_info
6487920,5,60,Female,2,5-Apr,0,1,trial_12,,,0,,6006,,6883,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,100,-13.33333333,5,-3.333333333,13.33333333,7.453559925,9.574271078,1,2,18.33333333,2.120711153,1,100,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",-13.33333333,13.33333333,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,12,0.625,0,20,20,20,1.166666667,2.166666667,13.33333333,-13.33333333,2,0,20,0
6487920,5,60,Female,2,5-Apr,0,0,trial_13,,1,0,,7785,9979,9629,"{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":2,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",100,50,6.666666667,16.66666667,-6.666666667,16.66666667,9.428090416,4.714045208,1,0,10,-4.714045208,-1,-50,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",-6.666666667,16.66666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,13,0.625,0,20,0,20,1.166666667,2.166666667,-6.666666667,16.66666667,1,0,0,20
6487920,5,60,Female,2,5-Apr,0,0,trial_14,,,,,12223,,,"{""FishSmall"":3,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":5,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",50,0,8.333333333,8.333333333,0,10,6.871842709,3.726779962,2,1,0,-3.145062747,-1,-50,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,8.333333333,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,14,0.625,0,0,10,0,1.166666667,2.166666667,0,8.333333333,2,0,0,0
6487920,5,60,Female,2,5-Apr,0,0,trial_15,,1,1,,4522,8629,9847,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}",100,50,0,1.666666667,-3.333333333,3.333333333,8.164965809,6.871842709,2,3,1.666666667,-1.2931231,1,-50,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",-3.333333333,1.666666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,15,0.625,0,0,0,-10,1.166666667,2.166666667,-3.333333333,1.666666667,2,0,0,0
6487920,5,60,Female,2,5-Apr,0,1,trial_16,,,1,,3632,,1924,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",0,100,0,15,3.333333333,20,8.164965809,7.637626158,2,1,15,-0.527339651,-1,100,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,20,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,16,0.625,10,0,0,20,1.166666667,2.166666667,20,0,1,0,0,10
6487920,5,60,Female,2,5-Apr,0,1,trial_17,,,1,,7476,,5312,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,100,-5,5,-3.333333333,-6.666666667,7.637626158,9.574271078,1,2,10,1.936644919,1,50,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",-5,-6.666666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,17,0.625,-10,0,10,0,1.166666667,2.166666667,-6.666666667,-5,2,0,0,-10
6487920,5,60,Female,2,5-Apr,0,1,trial_18,,,,,3509,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":4,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",50,50,-15,5,-16.66666667,3.333333333,7.637626158,5,1,3,20,-2.637626158,2,0,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",-15,3.333333333,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,18,0.625,0,0,0,-10,1.166666667,2.166666667,3.333333333,-15,3,0,0,0
6487920,5,60,Female,2,5-Apr,0,1,trial_19,,0,1,,1573,7404,1434,"{""FishSmall"":3,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",100,100,11.66666667,6.666666667,0,0,6.871842709,9.428090416,1,1,-5,2.556247706,0,0,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}",11.66666667,0,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,19,0.625,-20,0,10,0,1.166666667,2.166666667,0,11.66666667,1,0,0,-20
6487920,5,60,Female,2,5-Apr,0,1,trial_20,,0,0,,6480,20862,7077,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":3,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",50,100,-11.66666667,-10,-20,-3.333333333,8.975274679,8.164965809,2,2,1.666666667,-0.810308869,0,50,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":0,""CanBig"":3,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",-11.66666667,-3.333333333,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,20,0.625,-20,20,0,0,1.166666667,2.166666667,-3.333333333,-11.66666667,2,0,20,-20
6487920,5,60,Female,2,5-Apr,0,,catch_2,1,,,5835,,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":3,""Seaweed"":0}",0,0,,,,,,,,,,,,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",,,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,,0.625,,,,,,,,,,,,
